"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
1 16.828 "A1" "Early" "1" "C1"
2 24.854 "A1" "Early" "2" "C1"
3 17.909 "A1" "Early" "3" "C1"
4 33.921 "A1" "Early" "4" "C1"
5 40.342 "A1" "Late" "5" "C1"
6 31.054 "A1" "Late" "6" "C1"
7 34.994 "A1" "Late" "7" "C1"
8 35.863 "A1" "Late" "8" "C1"
9 10.804 "A1" "Washout" "9" "C1"
10 19.901 "A1" "Washout" "10" "C1"
11 13.260 "A1" "Washout" "11" "C1"
12 9.278 "A1" "Washout" "12" "C1"
13 0.456 "A1" "Early" "1" "C2"
14 0.778 "A1" "Early" "2" "C2"
15 7.633 "A1" "Early" "3" "C2"
16 27.614 "A1" "Early" "4" "C2"
17 17.967 "A1" "Late" "5" "C2"
18 31.037 "A1" "Late" "6" "C2"
19 27.279 "A1" "Late" "7" "C2"
20 31.944 "A1" "Late" "8" "C2"
21 22.352 "A1" "Washout" "9" "C2"
22 21.534 "A1" "Washout" "10" "C2"
23 17.419 "A1" "Washout" "11" "C2"
24 10.969 "A1" "Washout" "12" "C2"
25 5.426 "A1" "Early" "1" "C3"
26 11.607 "A1" "Early" "2" "C3"
27 12.762 "A1" "Early" "3" "C3"
28 19.171 "A1" "Early" "4" "C3"
29 24.227 "A1" "Late" "5" "C3"
30 30.008 "A1" "Late" "6" "C3"
31 29.421 "A1" "Late" "7" "C3"
32 31.000 "A1" "Late" "8" "C3"
33 16.123 "A1" "Washout" "9" "C3"
34 11.545 "A1" "Washout" "10" "C3"
35 8.978 "A1" "Washout" "11" "C3"
36 17.445 "A1" "Washout" "12" "C3"
37 2.624 "A1" "Early" "1" "C4"
38 15.697 "A1" "Early" "2" "C4"
39 24.398 "A1" "Early" "3" "C4"
40 31.360 "A1" "Early" "4" "C4"
41 22.030 "A1" "Late" "5" "C4"
42 27.750 "A1" "Late" "6" "C4"
43 23.498 "A1" "Late" "7" "C4"
44 20.084 "A1" "Late" "8" "C4"
45 8.246 "A1" "Washout" "9" "C4"
46 6.064 "A1" "Washout" "10" "C4"
47 4.619 "A1" "Washout" "11" "C4"
48 2.555 "A1" "Washout" "12" "C4"
49 13.355 "A1" "Early" "1" "C5"
50 32.911 "A1" "Early" "2" "C5"
51 41.580 "A1" "Early" "3" "C5"
52 51.012 "A1" "Early" "4" "C5"
53 56.594 "A1" "Late" "5" "C5"
54 52.864 "A1" "Late" "6" "C5"
55 55.439 "A1" "Late" "7" "C5"
56 44.492 "A1" "Late" "8" "C5"
57 2.871 "A1" "Washout" "9" "C5"
58 2.514 "A1" "Washout" "10" "C5"
59 -1.478 "A1" "Washout" "11" "C5"
60 3.020 "A1" "Washout" "12" "C5"
61 12.108 "A1" "Early" "1" "C6"
62 31.394 "A1" "Early" "2" "C6"
63 34.683 "A1" "Early" "3" "C6"
64 26.349 "A1" "Early" "4" "C6"
65 25.169 "A1" "Late" "5" "C6"
66 19.658 "A1" "Late" "6" "C6"
67 26.313 "A1" "Late" "7" "C6"
68 21.833 "A1" "Late" "8" "C6"
69 3.405 "A1" "Washout" "9" "C6"
70 1.411 "A1" "Washout" "10" "C6"
71 5.675 "A1" "Washout" "11" "C6"
72 -0.512 "A1" "Washout" "12" "C6"
73 3.419 "A1" "Early" "1" "C7"
74 -0.386 "A1" "Early" "2" "C7"
75 30.531 "A1" "Early" "3" "C7"
76 48.028 "A1" "Early" "4" "C7"
77 31.796 "A1" "Late" "5" "C7"
78 15.907 "A1" "Late" "6" "C7"
79 21.382 "A1" "Late" "7" "C7"
80 32.451 "A1" "Late" "8" "C7"
81 -3.229 "A1" "Washout" "9" "C7"
82 0.600 "A1" "Washout" "10" "C7"
83 1.126 "A1" "Washout" "11" "C7"
84 0.181 "A1" "Washout" "12" "C7"
85 -0.591 "A1" "Early" "1" "C8"
86 23.527 "A1" "Early" "2" "C8"
87 17.164 "A1" "Early" "3" "C8"
88 19.957 "A1" "Early" "4" "C8"
89 38.397 "A1" "Late" "5" "C8"
90 11.777 "A1" "Late" "6" "C8"
91 23.592 "A1" "Late" "7" "C8"
92 28.527 "A1" "Late" "8" "C8"
93 5.892 "A1" "Washout" "9" "C8"
94 1.563 "A1" "Washout" "10" "C8"
95 -1.503 "A1" "Washout" "11" "C8"
96 -2.574 "A1" "Washout" "12" "C8"
97 3.301 "A1" "Early" "1" "C9"
98 12.286 "A1" "Early" "2" "C9"
99 24.152 "A1" "Early" "3" "C9"
100 8.995 "A1" "Early" "4" "C9"
101 16.498 "A1" "Late" "5" "C9"
102 23.325 "A1" "Late" "6" "C9"
103 29.134 "A1" "Late" "7" "C9"
104 19.928 "A1" "Late" "8" "C9"
105 3.847 "A1" "Washout" "9" "C9"
106 8.466 "A1" "Washout" "10" "C9"
107 -0.030 "A1" "Washout" "11" "C9"
108 6.874 "A1" "Washout" "12" "C9"
109 0.605 "A1" "Early" "1" "C10"
110 31.416 "A1" "Early" "2" "C10"
111 -1.103 "A1" "Early" "3" "C10"
112 3.834 "A1" "Early" "4" "C10"
113 21.234 "A1" "Late" "5" "C10"
114 18.222 "A1" "Late" "6" "C10"
115 24.309 "A1" "Late" "7" "C10"
116 22.714 "A1" "Late" "8" "C10"
117 8.835 "A1" "Washout" "9" "C10"
118 9.453 "A1" "Washout" "10" "C10"
119 1.599 "A1" "Washout" "11" "C10"
120 4.805 "A1" "Washout" "12" "C10"
121 -3.206 "A1" "Early" "1" "C11"
122 1.167 "A1" "Early" "2" "C11"
123 10.117 "A1" "Early" "3" "C11"
124 5.562 "A1" "Early" "4" "C11"
125 31.648 "A1" "Late" "5" "C11"
126 16.114 "A1" "Late" "6" "C11"
127 32.425 "A1" "Late" "7" "C11"
128 4.475 "A1" "Late" "8" "C11"
129 9.893 "A1" "Washout" "9" "C11"
130 9.630 "A1" "Washout" "10" "C11"
131 8.480 "A1" "Washout" "11" "C11"
132 3.500 "A1" "Washout" "12" "C11"
133 -1.324 "A1" "Early" "1" "C12"
134 25.026 "A1" "Early" "2" "C12"
135 4.871 "A1" "Early" "3" "C12"
136 8.539 "A1" "Early" "4" "C12"
137 29.756 "A1" "Late" "5" "C12"
138 25.747 "A1" "Late" "6" "C12"
139 20.532 "A1" "Late" "7" "C12"
140 27.364 "A1" "Late" "8" "C12"
141 3.427 "A1" "Washout" "9" "C12"
142 2.432 "A1" "Washout" "10" "C12"
143 6.550 "A1" "Washout" "11" "C12"
144 0.523 "A1" "Washout" "12" "C12"
145 -3.257 "A1" "Early" "1" "C13"
146 12.692 "A1" "Early" "2" "C13"
147 30.840 "A1" "Early" "3" "C13"
148 52.632 "A1" "Early" "4" "C13"
149 14.068 "A1" "Late" "5" "C13"
150 9.970 "A1" "Late" "6" "C13"
151 22.202 "A1" "Late" "7" "C13"
152 22.919 "A1" "Late" "8" "C13"
153 1.912 "A1" "Washout" "9" "C13"
154 4.812 "A1" "Washout" "10" "C13"
155 6.356 "A1" "Washout" "11" "C13"
156 3.426 "A1" "Washout" "12" "C13"
157 2.456 "A1" "Early" "1" "C14"
158 17.550 "A1" "Early" "2" "C14"
159 24.520 "A1" "Early" "3" "C14"
160 24.400 "A1" "Early" "4" "C14"
161 27.753 "A1" "Late" "5" "C14"
162 29.119 "A1" "Late" "6" "C14"
163 30.118 "A1" "Late" "7" "C14"
164 32.433 "A1" "Late" "8" "C14"
165 7.448 "A1" "Washout" "9" "C14"
166 11.920 "A1" "Washout" "10" "C14"
167 9.138 "A1" "Washout" "11" "C14"
168 1.184 "A1" "Washout" "12" "C14"
169 3.262 "A1" "Early" "1" "C15"
170 27.405 "A1" "Early" "2" "C15"
171 51.580 "A1" "Early" "3" "C15"
172 NA "A1" "Early" "4" "C15"
173 14.915 "A1" "Late" "5" "C15"
174 31.598 "A1" "Late" "6" "C15"
175 36.860 "A1" "Late" "7" "C15"
176 30.277 "A1" "Late" "8" "C15"
