"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
1 -0.462 "A1" "Early" "1" "C1"
2 23.502 "A1" "Early" "2" "C1"
3 28.480 "A1" "Early" "3" "C1"
4 35.480 "A1" "Early" "4" "C1"
5 25.934 "A1" "Late" "5" "C1"
6 32.573 "A1" "Late" "6" "C1"
7 27.130 "A1" "Late" "7" "C1"
8 37.314 "A1" "Late" "8" "C1"
9 12.297 "A1" "Washout" "9" "C1"
10 9.154 "A1" "Washout" "10" "C1"
11 0.761 "A1" "Washout" "11" "C1"
12 3.735 "A1" "Washout" "12" "C1"
13 7.333 "A1" "Early" "1" "C2"
14 14.163 "A1" "Early" "2" "C2"
15 21.802 "A1" "Early" "3" "C2"
16 28.520 "A1" "Early" "4" "C2"
17 27.490 "A1" "Late" "5" "C2"
18 41.562 "A1" "Late" "6" "C2"
19 20.239 "A1" "Late" "7" "C2"
20 34.878 "A1" "Late" "8" "C2"
21 4.598 "A1" "Washout" "9" "C2"
22 2.236 "A1" "Washout" "10" "C2"
23 4.397 "A1" "Washout" "11" "C2"
24 0.397 "A1" "Washout" "12" "C2"
25 -1.386 "A1" "Early" "1" "C3"
26 19.236 "A1" "Early" "2" "C3"
27 11.935 "A1" "Early" "3" "C3"
28 8.397 "A1" "Early" "4" "C3"
29 29.026 "A1" "Late" "5" "C3"
30 24.668 "A1" "Late" "6" "C3"
31 23.040 "A1" "Late" "7" "C3"
32 31.593 "A1" "Late" "8" "C3"
33 4.212 "A1" "Washout" "9" "C3"
34 10.416 "A1" "Washout" "10" "C3"
35 6.214 "A1" "Washout" "11" "C3"
36 4.055 "A1" "Washout" "12" "C3"
37 1.765 "A1" "Early" "1" "C4"
38 -12.491 "A1" "Early" "2" "C4"
39 4.213 "A1" "Early" "3" "C4"
40 44.339 "A1" "Early" "4" "C4"
41 28.895 "A1" "Late" "5" "C4"
42 22.873 "A1" "Late" "6" "C4"
43 20.787 "A1" "Late" "7" "C4"
44 57.383 "A1" "Late" "8" "C4"
45 3.823 "A1" "Washout" "9" "C4"
46 4.754 "A1" "Washout" "10" "C4"
47 1.684 "A1" "Washout" "11" "C4"
48 0.960 "A1" "Washout" "12" "C4"
49 1.025 "A1" "Early" "1" "C5"
50 3.961 "A1" "Early" "2" "C5"
51 28.129 "A1" "Early" "3" "C5"
52 23.847 "A1" "Early" "4" "C5"
53 56.851 "A1" "Late" "5" "C5"
54 22.069 "A1" "Late" "6" "C5"
55 35.631 "A1" "Late" "7" "C5"
56 38.183 "A1" "Late" "8" "C5"
57 5.853 "A1" "Washout" "9" "C5"
58 4.465 "A1" "Washout" "10" "C5"
59 8.993 "A1" "Washout" "11" "C5"
60 12.372 "A1" "Washout" "12" "C5"
61 -1.360 "A1" "Early" "1" "C6"
62 2.471 "A1" "Early" "2" "C6"
63 9.272 "A1" "Early" "3" "C6"
64 -6.997 "A1" "Early" "4" "C6"
65 22.493 "A1" "Late" "5" "C6"
66 26.672 "A1" "Late" "6" "C6"
67 23.286 "A1" "Late" "7" "C6"
68 34.806 "A1" "Late" "8" "C6"
69 16.910 "A1" "Washout" "9" "C6"
70 9.408 "A1" "Washout" "10" "C6"
71 5.754 "A1" "Washout" "11" "C6"
72 3.465 "A1" "Washout" "12" "C6"
73 1.084 "A1" "Early" "1" "C7"
74 25.064 "A1" "Early" "2" "C7"
75 3.919 "A1" "Early" "3" "C7"
76 27.817 "A1" "Early" "4" "C7"
77 35.794 "A1" "Late" "5" "C7"
78 46.622 "A1" "Late" "6" "C7"
79 43.906 "A1" "Late" "7" "C7"
80 38.247 "A1" "Late" "8" "C7"
81 4.502 "A1" "Washout" "9" "C7"
82 5.441 "A1" "Washout" "10" "C7"
83 1.651 "A1" "Washout" "11" "C7"
84 0.998 "A1" "Washout" "12" "C7"
85 1.276 "A1" "Early" "1" "C8"
86 5.212 "A1" "Early" "2" "C8"
87 NA "A1" "Early" "3" "C8"
88 34.181 "A1" "Early" "4" "C8"
89 11.922 "A1" "Late" "5" "C8"
90 20.923 "A1" "Late" "6" "C8"
91 13.252 "A1" "Late" "7" "C8"
92 16.637 "A1" "Late" "8" "C8"
93 8.059 "A1" "Washout" "9" "C8"
94 4.844 "A1" "Washout" "10" "C8"
95 4.546 "A1" "Washout" "11" "C8"
96 4.376 "A1" "Washout" "12" "C8"
97 1.883 "A1" "Early" "1" "C9"
98 0.772 "A1" "Early" "2" "C9"
99 46.184 "A1" "Early" "3" "C9"
100 47.127 "A1" "Early" "4" "C9"
101 52.822 "A1" "Late" "5" "C9"
102 56.287 "A1" "Late" "6" "C9"
103 58.873 "A1" "Late" "7" "C9"
104 52.927 "A1" "Late" "8" "C9"
105 1.852 "A1" "Washout" "9" "C9"
106 3.032 "A1" "Washout" "10" "C9"
107 4.449 "A1" "Washout" "11" "C9"
108 2.862 "A1" "Washout" "12" "C9"
109 -2.751 "A1" "Early" "1" "C10"
110 -1.663 "A1" "Early" "2" "C10"
111 18.494 "A1" "Early" "3" "C10"
112 13.835 "A1" "Early" "4" "C10"
113 31.891 "A1" "Late" "5" "C10"
114 26.632 "A1" "Late" "6" "C10"
115 33.685 "A1" "Late" "7" "C10"
116 40.753 "A1" "Late" "8" "C10"
117 1.277 "A1" "Washout" "9" "C10"
118 2.011 "A1" "Washout" "10" "C10"
119 0.780 "A1" "Washout" "11" "C10"
120 5.314 "A1" "Washout" "12" "C10"
121 11.090 "A1" "Early" "1" "C11"
122 24.539 "A1" "Early" "2" "C11"
123 45.489 "A1" "Early" "3" "C11"
124 51.412 "A1" "Early" "4" "C11"
125 24.411 "A1" "Late" "5" "C11"
126 18.846 "A1" "Late" "6" "C11"
127 32.332 "A1" "Late" "7" "C11"
128 21.159 "A1" "Late" "8" "C11"
129 4.574 "A1" "Washout" "9" "C11"
130 3.231 "A1" "Washout" "10" "C11"
131 1.096 "A1" "Washout" "11" "C11"
132 2.377 "A1" "Washout" "12" "C11"
133 16.409 "A1" "Early" "1" "C12"
134 48.096 "A1" "Early" "2" "C12"
135 44.747 "A1" "Early" "3" "C12"
136 46.268 "A1" "Early" "4" "C12"
137 57.558 "A1" "Late" "5" "C12"
138 58.940 "A1" "Late" "6" "C12"
139 56.372 "A1" "Late" "7" "C12"
140 38.050 "A1" "Late" "8" "C12"
